bus 16           Contact no: 03363704936

hijrat colony           6:40
bilawal house           6:42
hyper star              6:50
saba avenue             7:02
shahbaz                 7:05
kh.bukhari              7:08
axect stop              7:10
hino bridge             7:12
singer chowrangi        7:25
