bus 15           Contact no: 03002567756

ziauddin                6:27
bilawal house           6:28
zamzama                 6:32
gizri                   6:35
punjab chowrangi        6:37
phase 4                 6:38
hino chowrangi          6:40
crossing                6:50
nasir jump              6:55
korangi                 6:57
landhi                  7:00
