bus 14           Contact no: 03002956056

tower                   6:30
tyre company            6:35
boat basin              6:40
3 talwar                6:45
race course             6:45
cantt station           6:50
askari III              6:52
kala pull(nmc)          6:57
akhter colony           7:02
deffance view           7:05
iqra                    7:07
paf chapter             7:10 
