bus 10           Contact no: 03243418041

bara board              6:30
golimar chowrangi       6:35
petrol pump             6:40
4 # Liaquatabad         6:42
10 lalu khait           6:45
baloch hotel            6:48
hassan square           6:50
mumtaz manzil           6:52
baitul mukarram         6:55
urdu science            6:57
lal flate               7:00
