bus 24           Contact no: 03000248247

lala zar nipa           6:35
safari park             6:40
samama                  6:43
continental             6:45
kesc                    6:46
johar chorangi          6:48
perfume chowke          6:50
hill top                6:52
johar more              6:55
colony gate             7:05
malir hult              7:10
