bus 12           Contact no: 03202530019

civil hospital          6:30
jubil area              6:32
gull plaza              6:35
mob.market              6:39
7day                    6:40
chapri cinema           6:40
kudadad colony          6:45
norani kabab            6:46
khalid bin walid road   6:58
sharafabad              6:52
bahadurabad             6:54
agha khan chowk         6:56
